channel_title,videoId,title,view_count,comment_count
Khan Academy,G5FVxAzlmfM,Weak acid–weak base reactions | Acids and bases | AP Chemistry | Khan Academy,6444,16
Khan Academy,78Sg3RdEPVk,Weak base–strong acid reactions | Acids and bases | AP Chemistry | Khan Academy,2089,0
Khan Academy,9rRlLPx6w7M,Worked example: Calculating the pH after a weak acid–strong base reaction (excess acid),1646,3
Khan Academy,VdAl4QK4-0Q,Weak acid–strong base reactions | Acids and bases | AP Chemistry | Khan Academy,2507,8
Khan Academy,SttbEmGj9uM,Strong acid–strong base reactions | Acids and bases | AP Chemistry | Khan Academy,2479,6
Khan Academy,mHsDodBfOVk,Sal's back to school 2021 message,25101,134
Khan Academy,LYdhi1mZFl0,LearnStorm 2021 - Khan Academy LearnStorm,14737,30
Khan Academy,XkhD_Rphlm0,Adaptation and environmental change | High school biology | Khan Academy,7895,18
Khan Academy,v_94NsuBwDM,Factors affecting acid strength | Acids and bases | AP Chemistry | Khan Academy,12238,12
Khan Academy,EDvtwQLJzEg,Acid–base properties of salts | Acids and bases | AP Chemistry | Khan Academy,6423,6
Khan Academy,cvcgH3ohcNg,Weak base equilibria | Acids and bases | AP Chemistry | Khan Academy,3266,3
Khan Academy,_jEe0Tkyn3w,Worked example: Finding the percent ionization of a weak acid | AP Chemistry | Khan Academy,2280,6
Khan Academy,nJLNlB-7Rhk,Weak acid equilibria | Acids and bases | AP Chemistry | Khan Academy,2937,3
Khan Academy,ffAiM67QomI,Strong base solutions | Acids and bases | AP Chemistry | Khan Academy,1526,2
Khan Academy,pZ43GbTechI,Strong acid solutions | Acids and bases | AP Chemistry | Khan Academy,1391,1
Khan Academy,qK_YVKAat1w,Worked examples: Calculating [H₃O⁺] and pH | Acids and bases | AP Chemistry | Khan Academy,2462,7
Khan Academy,75j1b1l6PWU,The pH scale | Acids and bases | AP Chemistry | Khan Academy,2000,5
Khan Academy,vt6WjF1O_08,Autoionization of water | Acids and bases | AP Chemistry | Khan Academy,2115,3
Khan Academy,oSZNQ1LZjHg,Digital and analog information | Information Technologies | High School Physics | Khan Academy,3681,12
Khan Academy,ClHuscLyuLo,Wave properties | Wave properties | High School Physics | Khan Academy,2375,5
Khan Academy,PElpJbRxJgc,Calculating height using energy | Modeling Energy | High School Physics | Khan Academy,2911,10
Khan Academy,8n_7bH5d2EE,Calculating velocity using energy | Modeling Energy | High School Physics | Khan Academy,2334,5
Khan Academy,giw2ELZr-bE,Natural selection and adaptation | High school biology | Khan Academy,4886,19
Khan Academy,P4I-abHPa-I,Acid Rain| Atmospheric Pollution| AP Environmental science| Khan Academy,3971,8
Khan Academy,61Zii5J8qoI,Evolution of group behavior | Evolution and natural selection | High school biology | Khan Academy,6985,9
